#x	Curve1
0.677178	-31.1522
0.678745	-31.8076
0.679508	-32.6811
0.681067	-33.5548
0.68183	-34.4283
0.683397	-35.0837
0.68416	-35.9572
0.685718	-36.8309
0.68649	-37.4861
0.688048	-38.3598
0.689607	-39.2335
0.691174	-39.8889
0.69274	-40.5443
0.694299	-41.418
0.695866	-42.0733
0.697433	-42.7287
0.699787	-43.6026
0.701362	-44.0396
0.704519	-44.6953
0.70689	-45.1325
0.710064	-45.3515
0.713238	-45.5706
0.716428	-45.3529
0.718823	-45.1351
0.722021	-44.6991
0.724424	-44.263
0.726039	-43.6083
0.72845	-42.9538
0.730066	-42.2991
0.731689	-41.4261
0.733305	-40.7715
0.734928	-39.8985
0.736544	-39.2438
0.738167	-38.3708
0.738995	-37.4976
0.74061	-36.8429
0.741438	-35.9697
0.743062	-35.0967
0.743882	-34.4419
0.745505	-33.5689
0.746333	-32.6957
0.747153	-32.0409
0.748777	-31.1679
0.749605	-30.2947
0.750433	-29.4215
0.75126	-28.5483
0.752884	-27.6753
0.753704	-27.0205
0.754532	-26.1473
0.75536	-25.2741
0.756983	-24.4011
0.757811	-23.5279
0.758631	-22.8731
0.759459	-21.9999
0.761083	-21.1269
0.76191	-20.2537
0.762738	-19.3805
0.763558	-18.7257
0.765182	-17.8527
0.76601	-16.9795
0.766838	-16.1063
0.767666	-15.2331
0.768486	-14.5783
0.770109	-13.7053
0.770937	-12.8321
0.771765	-11.9589
0.77338	-11.3042
0.774208	-10.431
0.775036	-9.55787
0.77666	-8.68486
0.778308	-7.15684
0.779136	-6.28365
0.779964	-5.41047
0.781579	-4.7558
0.782407	-3.88262
0.783235	-3.00944
0.784858	-2.13643
0.785686	-1.26325
0.786506	-0.608407
0.78813	0.264601
0.788958	1.13778
0.789786	2.01096
0.791401	2.66563
0.792229	3.53881
0.793057	4.412
0.793885	5.28518
0.795508	6.15819
0.796328	6.81303
0.797156	7.68621
0.797984	8.55939
0.798812	9.43257
0.79964	10.3058
0.800468	11.1789
0.802083	11.8336
0.802911	12.7068
0.803739	13.58
0.805395	15.3263
0.806223	16.1995
0.807051	17.0727
0.807879	17.9459
0.807912	18.8192
0.80874	19.6924
0.809559	20.3473
0.810387	21.2204
0.811215	22.0936
0.812043	22.9668
0.812871	23.84
0.813699	24.7132
0.813732	25.5865
0.81456	26.4597
0.815388	27.3329
0.816216	28.2061
0.817035	28.8609
0.817863	29.7341
0.817896	30.6074
0.818724	31.4806
0.819552	32.3538
0.82038	33.227
0.820412	34.1003
0.82124	34.9735
0.822068	35.8467
0.8221	36.7201
0.822928	37.5932
0.823756	38.4664
0.824584	39.3396
0.825412	40.2128
0.825437	40.8678
0.826265	41.741
0.827093	42.6142
0.827921	43.4874
0.828748	44.3605
0.828781	45.2339
0.829609	46.1071
0.830437	46.9803
0.831265	47.8534
0.832093	48.7266
0.832125	49.6
0.832953	50.4732
0.833773	51.128
0.834601	52.0012
0.835429	52.8744
0.837052	53.7474
0.83788	54.6206
0.838708	55.4937
0.839528	56.1486
0.840356	57.0218
0.841184	57.8949
0.842808	58.7679
0.843627	59.4228
0.846038	60.0773
0.848449	60.7318
0.850852	61.1679
0.854026	60.9489
0.855593	60.2935
0.85716	59.6382
0.858718	58.7645
0.860277	57.8908
0.86104	57.0172
0.861811	56.362
0.862574	55.4885
0.863338	54.615
0.864896	53.7413
0.865659	52.8678
0.866431	52.2126
0.867161	50.4657
0.867194	51.339
0.867924	49.5922
0.868688	48.7186
0.869451	47.8451
0.870214	46.9716
0.870944	45.2247
0.870977	46.098
0.871708	44.3512
0.872471	43.4776
0.873234	42.6041
0.874005	41.9489
0.874736	40.202
0.874768	41.0754
0.875499	39.3285
0.876262	38.455
0.876993	36.7081
0.877025	37.5814
0.877756	35.8346
0.878519	34.961
0.87925	33.2141
0.879282	34.0875
0.880013	32.3406
0.880776	31.4671
0.881547	30.8119
0.882278	29.065
0.88231	29.9384
0.883041	28.1915
0.883804	27.3179
0.884567	26.4444
0.88533	25.5709
0.886093	24.6974
0.886856	23.8238
0.887619	22.9503
0.888391	22.2951
0.889154	21.4216
0.889917	20.5481
0.891476	19.6744
0.892239	18.8008
0.89301	18.1456
0.893773	17.2721
0.895332	16.3984
0.896095	15.5249
0.896858	14.6513
0.897629	13.9962
0.898392	13.1226
0.899951	12.2489
0.900714	11.3754
0.901477	10.5019
0.90224	9.62833
0.903011	8.97314
0.903775	8.09961
0.904538	7.22608
0.905301	6.35255
0.906064	5.47903
0.906827	4.6055
0.90759	3.73197
0.908353	2.85844
0.909116	1.98491
0.909855	0.456363
0.909888	1.32972
0.910618	-0.417166
0.911381	-1.29069
0.912145	-2.16422
0.912908	-3.03775
0.913671	-3.91128
0.914434	-4.78481
0.915165	-6.5317
0.915197	-5.65834
0.915936	-7.18689
0.916699	-8.06041
0.917462	-8.93394
0.918225	-9.80747
0.918988	-10.681
0.919751	-11.5545
0.920482	-13.3014
0.920514	-12.4281
0.921245	-14.1749
0.922008	-15.0485
0.922779	-15.7037
0.923543	-16.5772
0.924306	-17.4507
0.925069	-18.3243
0.925832	-19.1978
0.926595	-20.0713
0.927358	-20.9448
0.928121	-21.8184
0.928893	-22.4736
0.929656	-23.3471
0.930419	-24.2206
0.931977	-25.0943
0.932741	-25.9678
0.933504	-26.8414
0.934267	-27.7149
0.935038	-28.3701
0.935801	-29.2436
0.936564	-30.1172
0.937327	-30.9907
0.93809	-31.8642
0.939657	-32.5196
0.94042	-33.3931
0.941979	-34.2668
0.942742	-35.1403
0.943513	-35.7955
0.945072	-36.6692
0.946631	-37.5429
0.948197	-38.1983
0.949756	-39.072
0.950527	-39.7272
0.952086	-40.6009
0.953653	-41.2563
0.956015	-41.9118
0.957574	-42.7855
0.959936	-43.441
0.961503	-44.0964
0.963865	-44.7519
0.967039	-44.971
0.969409	-45.4082
0.972583	-45.6272
0.975774	-45.4096
0.978956	-45.4103
0.981367	-44.7558
0.98377	-44.3196
0.986181	-43.6651
0.988591	-43.0106
0.990207	-42.3559
0.99183	-41.4829
0.993446	-40.8283
0.995069	-39.9553
0.996685	-39.3006
0.997513	-38.4274
